"database_name";"table_name";"model_name";"is_active";"execution_frequency";"execution_where_clause";"real_window";"retention_comment"
VP_STG;OCS_BUNDLE_ACTIVATION_BALTYPE;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_BALANCE_EXPIRY_BAL;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_DATA_SCUR;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_VAS_REFUND_BAL;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_BALANCE_EXPIRY;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;IMD_DATA_PGWR_CPLM;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_DATA_IEC_BALTYPE;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;IMD_DATA_SCDR;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_DATA_SCUR_BALTYPE;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_BALANCE_EXPIRY_BALTYPE;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_CIRCUIT_SWITCHED_COST;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;IMD_UMTS_SMMT;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_BUNDLE_RENEWAL_BAL;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_BUNDLE_RECHARGE_BALTYPE;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_VAS_CHECK_CHARGE_COST;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_CIRCUIT_SWITCHED_BAL;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_RECHARGE;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_OUTPAYMENT_COST;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;IMD_HUA;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_SUBSCRIBER_LIFECYCLE;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_SMS_BAL;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
VP_STG;OCS_MMS_BAL;VP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '180' DAY) AS TIMESTAMP(0));180;BIDEV-10916, retence pred migraci
