"System";"JobuCelkem";"NotInPool";"Running";"FailedRestart";"FailedFinal";"Cancelled";"Other"
"bscs";"48";"48";"0";"0";"0";"0";"0"
"ebox";"24";"24";"0";"0";"0";"0";"0"
"los";"31";"31";"0";"0";"0";"0";"0"
"ntrtsm";"80";"80";"0";"0";"0";"0";"0"
"ocs";"26";"26";"0";"0";"0";"0";"0"
"org";"53";"53";"0";"0";"0";"0";"0"
"pbt";"8";"8";"0";"0";"0";"0";"0"
"sap";"61";"61";"0";"0";"0";"0";"0"
"sfa";"59";"59";"0";"0";"0";"0";"0"
"zis";"32";"32";"0";"0";"0";"0";"0"
